Step,Duration (s)
1,82.11376830749214
2,65.21095737069845
3,63.9612797992304
4,63.714815699495375
5,63.67187718767673
6,63.86422254703939
7,63.73687644209713
8,64.10399667266756
9,63.76901472918689
10,63.67469749040902
11,63.61348268017173
12,63.71612061280757
13,63.72774583194405
14,63.90379007905722
15,63.67405968066305
16,63.272616351023316
17,63.884329558350146
18,63.638945751823485
19,63.67928268201649
20,63.71741400100291
21,63.58100287336856
22,63.89601104147732
23,63.90199013520032
24,63.73371862620115
25,63.83862500730902
26,63.76773009635508
27,63.68142308853567
28,63.77011528145522
29,63.78873905073851
30,63.704279265366495
31,63.80035123601556
32,63.68703634478152
33,63.731461158022285
34,63.7312402529642
35,63.94216310791671
36,63.797069324180484
37,63.85516113694757
38,63.87768452707678
39,63.60866882931441
40,63.64649249240756
41,63.76352812163532
42,63.6954195657745
43,63.77527267951518
44,63.96183842886239
45,63.7733399188146
46,63.97417149040848
47,63.848595939576626
48,63.897596176713705
49,64.03116506151855
50,63.79615439474583
51,63.804892778396606
52,63.74844986759126
53,63.88219930231571
54,63.853279339149594
55,63.86981077119708
56,63.67928885854781
57,63.77400630991906
58,63.947684271261096
59,63.85711787175387
60,63.88973590452224
61,64.58180878125131
62,63.90780822560191
63,63.81258964911103
64,63.86955879535526
65,63.80435567442328
66,63.50334273651242
67,63.74372299015522
68,63.92015063948929
69,63.96676359884441
70,63.68806818313897
71,63.78183155413717
72,63.749963004142046
73,63.69312163256109
74,63.783656693063676
75,63.774642693810165
76,63.5272484626621
77,63.92996300943196
78,63.84592981077731
79,63.92150089610368
80,63.69792443700135
81,63.840472483076155
82,63.93053792882711
83,63.74356305412948
84,63.86569026019424
85,63.831420552916825
86,63.38382316194475
87,63.67058285046369
88,63.81900453846902
89,63.86909893434495
90,63.502195144072175
91,64.03650619741529
92,63.76009800191969
93,63.896511119790375
94,63.82928293850273
95,63.84030523896217
96,63.68304555583745
97,63.886027376167476
98,63.85298736114055
99,64.0213784687221
100,64.03084615431726
101,63.431081912480295
102,63.72458354383707
103,63.73966217972338
104,63.836739432998
105,63.96577063575387
106,63.41528857499361
107,63.857211800292134
108,63.92958917003125
109,64.02566294651479
110,63.81192703451961
111,64.2407481316477
112,63.763468250632286
113,63.842243779450655
114,63.81904217414558
115,63.688543854281306
116,63.136584067717195
117,63.724040580913424
118,63.6693035569042
119,63.84713873453438
120,63.700352563522756
121,63.616113459691405
122,63.808507728390396
123,63.81396619230509
124,63.78183588758111
125,63.763334618881345
126,63.089399978518486
127,63.640094079077244
128,63.73982560262084
129,63.71129620447755
130,63.609429601579905
131,63.79770386964083
132,63.847821722738445
133,63.75080858543515
134,63.65975668095052
135,63.7912532472983
136,63.65575572382659
137,63.55746639613062
138,63.6748953294009
139,63.720604648813605
140,63.90385631285608
141,63.6435187663883
142,63.59946523047984
143,63.72108579799533
144,63.869036617688835
145,63.786158544011414
146,63.616724791936576
147,63.72182435169816
148,63.53068970888853
149,63.690829874016345
150,63.61459132190794
151,63.742381180636585
152,63.69133562222123
153,63.8158214231953
154,63.74763793870807
155,63.75906844437122
156,63.68987037986517
157,63.63614444620907
158,63.74965841881931
159,63.820351438596845
160,63.62026825360954
161,63.54793057125062
162,63.777873517014086
163,63.64685315731913
164,63.67052519787103
165,63.68770674522966
166,63.86719111725688
167,63.926953695714474
168,63.6502486364916
169,63.84011609014124
170,63.69027943070978
171,63.2405883455649
172,63.71798951365054
173,63.67880401201546
174,63.665767919272184
175,63.8224564967677
176,63.50476377271116
177,63.69752221275121
178,63.48355508130044
179,63.5275244647637
180,63.80906192213297
181,63.80437402520329
182,63.77614722121507
183,63.57316368445754
184,63.845310595817864
185,63.673313026316464
186,63.81847017351538
187,63.78501944988966
188,63.66308099869639
189,63.80772929824889
190,63.72350945416838
191,63.92006476223469
192,63.81640722416341
193,63.74601549189538
194,63.6200009919703
195,63.67618652712554
196,63.62548591103405
197,63.604541178792715
198,63.59842536225915
199,63.627212572842836
200,63.69366088602692
201,63.73261440638453
202,63.50290865171701
203,63.589456292800605
204,63.66928621288389
205,63.62389470823109
206,63.78996806405485
207,63.80053572636098
208,63.765388757921755
209,63.86175184417516
210,63.76605355553329
211,63.55802270397544
212,63.60237629339099
213,63.587300966493785
214,63.81218795944005
215,63.87421111948788
216,63.726324887014925
217,63.60419421829283
218,63.545511894859374
219,63.6164088929072
220,63.58382579591125
221,63.58401917479932
222,63.857005503959954
223,63.81714560184628
224,63.714424734935164
225,63.678963790647686
226,63.449320384301245
227,63.84710232634097
228,63.743171219713986
229,63.74545677937567
230,63.56544146127999
231,63.419388270936906
232,63.78728419262916
233,63.72153136506677
234,63.670551487244666
235,63.76684061065316
236,63.37768963817507
237,63.89825768023729
238,63.80948524642736
239,63.87962947692722
240,63.75693655665964
241,63.22347338683903
242,63.799194948747754
243,63.65116586256772
244,63.792780596762896
245,63.721633180975914
246,63.5672172177583
247,63.77352604921907
248,63.610764878802
249,63.73424944188446
250,63.69401762448251
251,63.645959929563105
252,63.77688208129257
253,63.623027047142386
254,63.69844895787537
255,63.92087971325964
256,63.725814645178616
257,63.712481875903904
258,63.711187181062996
259,63.69044691324234
260,63.780526619404554
261,63.609816916286945
262,63.795226513408124
263,63.5765525707975
264,63.81326583959162
265,63.635464512743056
266,63.52099275775254
267,63.58353400789201
268,63.74521023966372
269,63.94512603804469
270,63.60839585121721
271,63.6820448404178
272,63.80602583102882
273,63.722769691608846
274,63.81011359859258
275,63.71909454930574
276,63.705764959566295
277,63.82642416283488
278,63.66179076395929
279,63.83463706355542
280,63.78894550539553
281,63.56421791482717
282,63.768642546609044
283,63.68967948295176
284,63.75341265182942
285,63.57395030371845
286,63.631232102401555
287,63.571688778698444
288,63.750869610346854
289,63.7487010313198
290,63.75577247329056
291,63.56207605544478
292,63.72716699447483
293,63.57050091959536
294,63.8399998517707
295,63.67667974717915
296,63.65282335411757
297,63.670850897207856
298,63.714609164744616
299,63.679411984048784
300,63.60955286677927
301,63.70615549199283
302,63.83805251121521
303,63.654025718569756
304,63.85034926235676
305,63.72259602788836
306,63.640920330770314
307,63.7150872675702
308,63.58760817628354
309,63.639229599386454
310,63.723491156473756
311,63.65986357815564
312,63.644605751149356
313,63.84444032609463
314,63.67970452923328
315,63.56928424164653
316,63.68031877465546
317,63.775983123108745
318,63.67843691818416
319,63.556399611756206
320,63.76828304305673
321,63.62183066084981
322,63.59562112670392
323,63.63919807318598
324,63.656512316316366
325,63.70210408605635
326,63.90219100564718
327,63.86465001478791
328,63.67707456275821
329,63.75392201170325
330,63.69074884336442
331,63.67395058926195
332,63.728204785846174
333,63.723602052778006
334,63.67684548255056
335,63.807054003700614
336,64.56049558427185
337,63.52932264190167
338,63.640329295769334
339,63.681816751137376
340,63.7198814349249
341,63.72245232574642
342,63.621723568066955
343,63.517428362742066
344,63.687389981001616
345,63.77647840511054
346,63.8044651709497
347,63.69325667247176
348,63.83015983551741
349,63.75323296058923
350,63.796527977101505
351,63.58545563183725
352,63.74517499655485
353,63.73613629024476
354,63.81734478008002
355,63.66271326877177
356,63.789693178609014
357,63.68562674894929
358,63.712155720219016
359,63.72328765131533
360,63.72092594951391
361,63.619296659715474
362,63.670546418987215
363,63.72991701029241
364,63.653613277710974
365,63.980656960979104
366,63.75463675055653
367,63.65679852478206
368,63.64171476196498
369,63.782421015203
370,63.68573485594243
371,63.583031790331006
372,63.65301633439958
373,63.571363711729646
374,63.68080243375152
375,63.68345739413053
376,63.514631814323366
377,63.799033294431865
378,63.75300161540508
379,63.795648257248104
380,63.67545432783663
381,63.72249021939933
382,63.69773531612009
383,63.61188211850822
384,63.55427394993603
385,63.64044645149261
386,63.507045878097415
387,63.7463996252045
388,63.78832089621574
389,63.52892082091421
390,63.57716907188296
391,63.6225181510672
392,63.52018433250487
393,63.49745032098144
394,64.58306004665792
395,63.59662320744246
396,63.731823592446744
397,63.66477376688272
398,63.616770036518574
399,63.68937609810382
400,63.80786809138954
401,63.69775302242488
402,63.80849982332438
403,63.45607029553503
404,63.50910843349993
405,63.52809730730951
406,63.796150874346495
407,63.571803969331086
408,63.48938546422869
409,63.66772130783647
410,63.49486692156643
411,63.560780024155974
412,63.713636204600334
413,63.56193400174379
414,63.635395421646535
415,63.633489715866745
416,63.716510981321335
417,63.89605775196105
418,63.66647322289646
419,63.745166645385325
420,63.71574103925377
421,63.644035142846406
422,63.4970418959856
423,63.61553802061826
424,63.43202498368919
425,63.81827022507787
426,63.67650961689651
427,63.54021725151688
428,63.597950560972095
429,63.506561962887645
430,63.51685079932213
431,63.46392954234034
432,63.49856428988278
433,63.515001233667135
434,63.507769733667374
435,63.43546477984637
436,63.42178209591657
437,63.58927768841386
438,63.59625637438148
439,63.666765224188566
440,63.52651807758957
441,63.61273073591292
442,63.71397580113262
443,63.46066820528358
444,63.617229502648115
445,63.440888934768736
446,63.68515109363943
447,63.557225353084505
448,63.62508518900722
449,63.68359072320163
450,63.67662298306823
451,63.638693301938474
452,63.523109421133995
453,63.596948865801096
454,63.55454768054187
455,63.567343108356
456,63.527875719591975
457,63.622195311822
458,63.75075845979154
459,63.89453600719571
460,63.57777687627822
461,64.30931524280459
462,63.65095964819193
463,63.51568931248039
464,63.661760528571904
465,63.67213346064091
466,63.60705241188407
467,63.513708553276956
468,63.568619299679995
469,63.5562335299328
470,63.450993191450834
471,63.508821254596114
472,63.4681766750291
473,63.81057514529675
474,63.671346344053745
475,63.482200322672725
476,63.65188165102154
477,63.71728289779276
478,63.83327618520707
479,63.53561440017074
480,63.47618851903826
481,63.5634937742725
482,63.63777794968337
483,63.628633056767285
484,63.6543054273352
485,63.558034697547555
486,63.660036464221776
487,63.72409396339208
488,63.51175035443157
489,63.54002124071121
490,63.58181531820446
491,63.67579186707735
492,63.74573811143637
493,63.642246186733246
494,63.391436917707324
495,63.524440905079246
496,63.47365742828697
497,63.45478507410735
498,63.52960730437189
499,63.45437316317111
500,63.763882101513445
